Common name,Scientific name,Order,Family,95% Lower CI,Abundance estimate,95% Upper CI,Range adjusted,Training species
House Sparrow,Passer domesticus,Passeriformes,Passeridae (Old World Sparrows),691718494,1618744682,3795135209,TRUE,TRUE
European Starling,Sturnus vulgaris,Passeriformes,Sturnidae (Starlings),428117239,1288846040,3986525008,TRUE,TRUE
Ring-billed Gull,Larus delawarensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",22703666,1229072620,61036248728,TRUE,TRUE
Barn Swallow,Hirundo rustica,Passeriformes,Hirundinidae (Swallows),368223376,1076122004,3248000928,TRUE,TRUE
Glaucous Gull,Larus hyperboreus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",11030070,949879030,78302779623,TRUE,TRUE
Alder Flycatcher,Empidonax alnorum,Passeriformes,Tyrannidae (Tyrant Flycatchers),52035587,896919155,16407841925,TRUE,TRUE
Black-legged Kittiwake,Rissa tridactyla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",15934990,815654031,44045847760,TRUE,TRUE
Horned Lark,Eremophila alpestris,Passeriformes,Alaudidae (Larks),114183681,770962832,4980210996,TRUE,TRUE
Sooty Tern,Onychoprion fuscatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",8514234,711704137,55431870239,TRUE,FALSE
Savannah Sparrow,Passerculus sandwichensis,Passeriformes,Passerellidae (New World Sparrows),105545295,599661514,3327074417,TRUE,TRUE
American Robin,Turdus migratorius,Passeriformes,Turdidae (Thrushes and Allies),141360196,561290332,2187840521,TRUE,TRUE
Blue-gray Gnatcatcher,Polioptila caerulea,Passeriformes,Polioptilidae (Gnatcatchers),50969759,542518652,5789385556,FALSE,TRUE
Red-winged Blackbird,Agelaius phoeniceus,Passeriformes,Icteridae (Troupials and Allies),100159133,418284484,1739096158,TRUE,TRUE
Rook,Corvus frugilegus,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",12075483,355015538,10440316620,TRUE,TRUE
Eurasian Blackbird,Turdus merula,Passeriformes,Turdidae (Thrushes and Allies),12798079,354433630,10411809875,TRUE,TRUE
White Wagtail,Motacilla alba,Passeriformes,Motacillidae (Wagtails and Pipits),9471018,353854467,12394539578,TRUE,TRUE
Common Wood-Pigeon,Columba palumbus,Columbiformes,Columbidae (Pigeons and Doves),13033917,334511213,9223836421,TRUE,TRUE
Golden-crowned Kinglet,Regulus satrapa,Passeriformes,Regulidae (Kinglets),33276184,303330127,2838871281,TRUE,TRUE
Swainson's Thrush,Catharus ustulatus,Passeriformes,Turdidae (Thrushes and Allies),28089824,301610196,3042019134,FALSE,TRUE
Rock Pigeon,Columba livia,Columbiformes,Columbidae (Pigeons and Doves),122250173,285765338,661240316,TRUE,TRUE
Dark-eyed Junco,Junco hyemalis,Passeriformes,Passerellidae (New World Sparrows),72199360,277840118,1121186709,TRUE,TRUE
Chipping Sparrow,Spizella passerina,Passeriformes,Passerellidae (New World Sparrows),65107575,274773823,1190390265,TRUE,TRUE
Yellow-rumped Warbler,Setophaga coronata,Passeriformes,Parulidae (New World Warblers),30106936,260880003,2317948881,TRUE,TRUE
Common Redpoll,Acanthis flammea,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",10934720,255561375,5438901236,TRUE,TRUE
Brown Noddy,Anous stolidus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",3139006,252487642,21270730835,TRUE,FALSE
Red-footed Booby,Sula sula,Suliformes,Sulidae (Boobies and Gannets),2883463,245778472,22587749456,TRUE,FALSE
Meadow Pipit,Anthus pratensis,Passeriformes,Motacillidae (Wagtails and Pipits),6001413,245281141,10013341219,TRUE,TRUE
Mourning Dove,Zenaida macroura,Columbiformes,Columbidae (Pigeons and Doves),43627117,239547974,1385178327,TRUE,TRUE
Masked Booby,Sula dactylatra,Suliformes,Sulidae (Boobies and Gannets),2316700,218620453,20621869991,TRUE,FALSE
White-throated Sparrow,Zonotrichia albicollis,Passeriformes,Passerellidae (New World Sparrows),22648603,217096172,2006396246,TRUE,TRUE
Song Sparrow,Melospiza melodia,Passeriformes,Passerellidae (New World Sparrows),83148721,214266112,540228049,TRUE,TRUE
Western Meadowlark,Sturnella neglecta,Passeriformes,Icteridae (Troupials and Allies),26241476,214156433,1737015074,FALSE,TRUE
House Wren,Troglodytes aedon,Passeriformes,Troglodytidae (Wrens),47914650,207824996,886366863,TRUE,TRUE
Northern Cardinal,Cardinalis cardinalis,Passeriformes,Cardinalidae (Cardinals and Allies),36260305,204034397,1152391014,TRUE,TRUE
Eurasian Collared-Dove,Streptopelia decaocto,Columbiformes,Columbidae (Pigeons and Doves),47870947,203977979,841621611,TRUE,TRUE
Black Noddy,Anous minutus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",2558509,203935636,16915798206,TRUE,FALSE
Common Grackle,Quiscalus quiscula,Passeriformes,Icteridae (Troupials and Allies),27981257,187073093,1378105396,TRUE,TRUE
Eurasian Jackdaw,Corvus monedula,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",10459907,184949422,2961443672,TRUE,TRUE
Brown-headed Cowbird,Molothrus ater,Passeriformes,Icteridae (Troupials and Allies),37968102,184678527,915097545,TRUE,TRUE
White-winged Crossbill,Loxia leucoptera,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",15255461,170978414,1793971396,TRUE,TRUE
Tennessee Warbler,Oreothlypis peregrina,Passeriformes,Parulidae (New World Warblers),8020862,169906051,3224633644,TRUE,TRUE
Mallard,Anas platyrhynchos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",2617837,167717060,12554374607,TRUE,FALSE
Cattle Egret,Bubulcus ibis,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",2115604,166208709,13471957558,TRUE,FALSE
White Tern,Gygis alba,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",1833589,165448034,13031955297,TRUE,FALSE
Common House-Martin,Delichon urbicum,Passeriformes,Hirundinidae (Swallows),4784907,162945329,6267462092,TRUE,TRUE
Arctic Tern,Sterna paradisaea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",2080717,161798377,14825449636,TRUE,FALSE
Brown Skua,Stercorarius antarcticus,Charadriiformes,Stercorariidae (Skuas and Jaegers),1936281,157734474,16126172081,TRUE,FALSE
Lapland Longspur,Calcarius lapponicus,Passeriformes,Calcariidae (Longspurs and Snow Buntings),19095960,154820347,1248746608,TRUE,TRUE
Red-eyed Vireo,Vireo olivaceus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",22849655,137406741,764168438,TRUE,TRUE
Ruby-crowned Kinglet,Regulus calendula,Passeriformes,Regulidae (Kinglets),13301937,131624404,1221623098,TRUE,TRUE
Common Swift,Apus apus,Caprimulgiformes,Apodidae (Swifts),1612768,129654873,10278427691,TRUE,FALSE
Ring-necked Pheasant,Phasianus colchicus,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",17296125,129527900,938467169,TRUE,TRUE
Red-tailed Tropicbird,Phaethon rubricauda,Phaethontiformes,Phaethontidae (Tropicbirds),1488472,129490852,10854665735,TRUE,FALSE
Northern Mockingbird,Mimus polyglottos,Passeriformes,Mimidae (Mockingbirds and Thrashers),29949059,124869634,516236228,TRUE,TRUE
Iceland Gull,Larus glaucoides,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",1516706,115337179,9639884124,TRUE,TRUE
Black-capped Chickadee,Poecile atricapillus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",13369586,112012778,964219149,TRUE,TRUE
Cliff Swallow,Petrochelidon pyrrhonota,Passeriformes,Hirundinidae (Swallows),33407646,109528763,361688033,TRUE,TRUE
Brewer's Blackbird,Euphagus cyanocephalus,Passeriformes,Icteridae (Troupials and Allies),11967016,109369835,925122368,TRUE,TRUE
Franklin's Gull,Leucophaeus pipixcan,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",1135134,108014410,8636740617,TRUE,FALSE
Yellow Warbler,Setophaga petechia,Passeriformes,Parulidae (New World Warblers),24981863,105938206,438578291,TRUE,TRUE
Red-necked Phalarope,Phalaropus lobatus,Charadriiformes,Scolopacidae (Sandpipers and Allies),1189475,101526658,8789503496,TRUE,FALSE
Lincoln's Sparrow,Melospiza lincolnii,Passeriformes,Passerellidae (New World Sparrows),5511701,101350659,1955303292,TRUE,TRUE
Northern Pintail,Anas acuta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1297110,98587756,7858009235,TRUE,FALSE
Snow Bunting,Plectrophenax nivalis,Passeriformes,Calcariidae (Longspurs and Snow Buntings),6772350,98146299,1516525923,TRUE,TRUE
White-crowned Sparrow,Zonotrichia leucophrys,Passeriformes,Passerellidae (New World Sparrows),6085255,98005211,1471622012,TRUE,TRUE
Wedge-rumped Storm-Petrel,Oceanodroma tethys,Procellariiformes,Hydrobatidae (Northern Storm-Petrels),1129366,95696643,7760594171,FALSE,FALSE
Dovekie,Alle alle,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",1227468,95426862,8821305693,TRUE,FALSE
Red-billed Quelea,Quelea quelea,Passeriformes,Ploceidae (Weavers and Allies),1560928,95187160,5924114464,TRUE,FALSE
Magnolia Warbler,Setophaga magnolia,Passeriformes,Parulidae (New World Warblers),1842992,93097116,4384718251,TRUE,TRUE
American Crow,Corvus brachyrhynchos,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",20727486,91840173,413722694,TRUE,TRUE
Ring-necked Duck,Aythya collaris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1268632,91130489,6818416055,TRUE,TRUE
Pine Siskin,Spinus pinus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",16689538,90433461,532063473,TRUE,TRUE
White-eyed Vireo,Vireo griseus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",4585091,90305148,1971995553,FALSE,TRUE
Common Ground-Dove,Columbina passerina,Columbiformes,Columbidae (Pigeons and Doves),3146075,89936706,2412418302,TRUE,TRUE
Herring Gull,Larus argentatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",1228847,89542122,6897814263,TRUE,FALSE
Indigo Bunting,Passerina cyanea,Passeriformes,Cardinalidae (Cardinals and Allies),17517561,87201014,444639469,FALSE,TRUE
Canada Goose,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1059066,87184210,6021713165,TRUE,FALSE
White-rumped Sandpiper,Calidris fuscicollis,Charadriiformes,Scolopacidae (Sandpipers and Allies),1091640,84606359,6779809878,TRUE,FALSE
Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",964712,83913086,6496054597,TRUE,FALSE
Arctic Warbler,Phylloscopus borealis,Passeriformes,Phylloscopidae (Leaf Warblers),901526,83250665,6661518710,TRUE,TRUE
Black Kite,Milvus migrans,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",1025212,82595800,7134605150,TRUE,FALSE
House Finch,Haemorhous mexicanus,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",12237847,82119779,550010621,FALSE,TRUE
Townsend's Warbler,Setophaga townsendi,Passeriformes,Parulidae (New World Warblers),1002399,81482333,6486363453,TRUE,TRUE
Varied Thrush,Ixoreus naevius,Passeriformes,Turdidae (Thrushes and Allies),2775470,81301690,2278897015,TRUE,TRUE
Little Stint,Calidris minuta,Charadriiformes,Scolopacidae (Sandpipers and Allies),988302,79994541,7665876961,TRUE,FALSE
Black-headed Gull,Chroicocephalus ridibundus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",2537682,78878122,2386322004,FALSE,TRUE
Semipalmated Sandpiper,Calidris pusilla,Charadriiformes,Scolopacidae (Sandpipers and Allies),1008758,78862750,6712891441,TRUE,FALSE
Mew Gull,Larus canus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",1523998,77975623,4258600629,TRUE,TRUE
Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",951129,77365597,6074379970,TRUE,FALSE
American Goldfinch,Spinus tristis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",28374369,76926921,213010032,TRUE,TRUE
Dunlin,Calidris alpina,Charadriiformes,Scolopacidae (Sandpipers and Allies),2059914,74082180,2279300371,TRUE,TRUE
Black-winged Stilt,Himantopus himantopus,Charadriiformes,Recurvirostridae (Stilts and Avocets),907412,73935899,6380825698,TRUE,FALSE
Black Vulture,Coragyps atratus,Cathartiformes,Cathartidae (New World Vultures),7054421,73934521,719217751,TRUE,TRUE
Common Yellowthroat,Geothlypis trichas,Passeriformes,Parulidae (New World Warblers),12226977,73754462,440726226,TRUE,TRUE
Eastern Phoebe,Sayornis phoebe,Passeriformes,Tyrannidae (Tyrant Flycatchers),7649128,73428328,712822879,TRUE,TRUE
Hermit Thrush,Catharus guttatus,Passeriformes,Turdidae (Thrushes and Allies),5237116,73129157,1019893461,TRUE,TRUE
Cedar Waxwing,Bombycilla cedrorum,Passeriformes,Bombycillidae (Waxwings),13515819,72905406,400125728,TRUE,TRUE
Eurasian Coot,Fulica atra,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",4017494,71948892,1277772954,TRUE,TRUE
Laughing Gull,Leucophaeus atricilla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",897047,71587859,5486167208,TRUE,FALSE
Turkey Vulture,Cathartes aura,Cathartiformes,Cathartidae (New World Vultures),14987737,70786507,325939178,TRUE,TRUE
Gray-cheeked Thrush,Catharus minimus,Passeriformes,Turdidae (Thrushes and Allies),3997098,70534687,1198737177,TRUE,TRUE
Black-throated Sparrow,Amphispiza bilineata,Passeriformes,Passerellidae (New World Sparrows),1490591,70333300,3511553464,FALSE,TRUE
Kelp Gull,Larus dominicanus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",839195,68860521,5608139770,TRUE,FALSE
Orange-crowned Warbler,Oreothlypis celata,Passeriformes,Parulidae (New World Warblers),1918357,68141881,2282400794,TRUE,TRUE
Little Egret,Egretta garzetta,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",805987,65345176,5275716605,TRUE,FALSE
Great Crested Tern,Thalasseus bergii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",745216,64906844,5928955430,TRUE,FALSE
Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1418063,64105549,2818113159,TRUE,TRUE
Wilson's Warbler,Cardellina pusilla,Passeriformes,Parulidae (New World Warblers),2954509,63781688,1311440444,TRUE,TRUE
Western Yellow Wagtail,Motacilla flava,Passeriformes,Motacillidae (Wagtails and Pipits),794185,63739078,5318687496,TRUE,FALSE
Blue Grosbeak,Passerina caerulea,Passeriformes,Cardinalidae (Cardinals and Allies),3268369,63575766,1240312511,FALSE,TRUE
Red Knot,Calidris canutus,Charadriiformes,Scolopacidae (Sandpipers and Allies),1244475,62640390,3202767941,TRUE,TRUE
Clay-colored Sparrow,Spizella pallida,Passeriformes,Passerellidae (New World Sparrows),4512245,62584333,850032951,TRUE,TRUE
Red Phalarope,Phalaropus fulicarius,Charadriiformes,Scolopacidae (Sandpipers and Allies),681662,62405226,5441816164,TRUE,FALSE
Brown Booby,Sula leucogaster,Suliformes,Sulidae (Boobies and Gannets),720732,61553010,5703163077,TRUE,FALSE
Eastern Bluebird,Sialia sialis,Passeriformes,Turdidae (Thrushes and Allies),10554729,60548459,339012607,FALSE,TRUE
Great Tit,Parus major,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",749380,60442665,5112401919,TRUE,FALSE
White-winged Tern,Chlidonias leucopterus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",713833,59978112,4964185792,TRUE,FALSE
Budgerigar,Melopsittacus undulatus,Psittaciformes,Psittaculidae (Old World Parrots),728051,59367095,4640575327,TRUE,FALSE
Common Myna,Acridotheres tristis,Passeriformes,Sturnidae (Starlings),683341,59142818,4702674404,TRUE,FALSE
Prairie Warbler,Setophaga discolor,Passeriformes,Parulidae (New World Warblers),930080,59013734,3960950375,FALSE,TRUE
American Coot,Fulica americana,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",867548,58912804,4486532575,TRUE,FALSE
Lesser Black-backed Gull,Larus fuscus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",775713,58600962,5723968709,TRUE,FALSE
Sabine's Gull,Xema sabini,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",693099,58058380,5432938015,TRUE,FALSE
Ruddy Turnstone,Arenaria interpres,Charadriiformes,Scolopacidae (Sandpipers and Allies),934875,57976203,3411611877,TRUE,TRUE
Rosy Starling,Pastor roseus,Passeriformes,Sturnidae (Starlings),715801,57800268,5039517931,TRUE,FALSE
Great Egret,Ardea alba,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",743715,57358864,3921824944,TRUE,TRUE
Greater Flamingo,Phoenicopterus roseus,Phoenicopteriformes,Phoenicopteridae (Flamingos),841512,57318096,4208167733,TRUE,FALSE
Green-winged Teal,Anas crecca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",3352722,56760899,1037032024,TRUE,TRUE
Common Sandpiper,Actitis hypoleucos,Charadriiformes,Scolopacidae (Sandpipers and Allies),585456,55736589,4946864771,TRUE,FALSE
Whiskered Tern,Chlidonias hybrida,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",640795,55424118,4629186872,TRUE,FALSE
Pacific Golden-Plover,Pluvialis fulva,Charadriiformes,Charadriidae (Plovers and Lapwings),675318,54842893,4188230074,TRUE,FALSE
Laughing Dove,Streptopelia senegalensis,Columbiformes,Columbidae (Pigeons and Doves),632592,54486713,5148561251,TRUE,FALSE
Eastern Kingbird,Tyrannus tyrannus,Passeriformes,Tyrannidae (Tyrant Flycatchers),8662047,54090449,341818585,TRUE,TRUE
Garganey,Spatula querquedula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",727923,53464613,4396980157,TRUE,TRUE
Least Sandpiper,Calidris minutilla,Charadriiformes,Scolopacidae (Sandpipers and Allies),699945,52765802,4009349189,TRUE,FALSE
Black-bellied Plover,Pluvialis squatarola,Charadriiformes,Charadriidae (Plovers and Lapwings),628120,52525654,4548881646,TRUE,FALSE
Eurasian Wigeon,Mareca penelope,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",1463887,52349060,1892043730,TRUE,TRUE
Pacific Swift,Apus pacificus,Caprimulgiformes,Apodidae (Swifts),628753,52309376,4272092179,TRUE,FALSE
Whimbrel,Numenius phaeopus,Charadriiformes,Scolopacidae (Sandpipers and Allies),578523,52205963,4129224952,TRUE,FALSE
Lesser Flamingo,Phoeniconaias minor,Phoenicopteriformes,Phoenicopteridae (Flamingos),683769,51014561,4119755539,TRUE,FALSE
Northern Parula,Setophaga americana,Passeriformes,Parulidae (New World Warblers),3558067,49962873,711780399,FALSE,TRUE
White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",560120,49399310,4306385570,TRUE,FALSE
Bank Swallow,Riparia riparia,Passeriformes,Hirundinidae (Swallows),12599100,49357199,188771197,TRUE,TRUE
Pectoral Sandpiper,Calidris melanotos,Charadriiformes,Scolopacidae (Sandpipers and Allies),605494,49292095,4573768420,TRUE,FALSE
Common Chaffinch,Fringilla coelebs,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",681155,48580457,3017397029,TRUE,FALSE
Eared Dove,Zenaida auriculata,Columbiformes,Columbidae (Pigeons and Doves),540835,47809737,3700739235,TRUE,FALSE
Zebra Finch,Taeniopygia guttata,Passeriformes,Estrildidae (Waxbills and Allies),579190,47805757,4421919933,TRUE,FALSE
Neotropic Cormorant,Phalacrocorax brasilianus,Suliformes,Phalacrocoracidae (Cormorants and Shags),599093,47778576,3652932205,FALSE,FALSE
Curlew Sandpiper,Calidris ferruginea,Charadriiformes,Scolopacidae (Sandpipers and Allies),551020,47681277,3936560220,TRUE,FALSE
Eurasian Tree Sparrow,Passer montanus,Passeriformes,Passeridae (Old World Sparrows),1491422,47643490,1676482760,TRUE,TRUE
Rose-ringed Parakeet,Psittacula krameri,Psittaciformes,Psittaculidae (Old World Parrots),607411,47500445,4031050917,TRUE,FALSE
Nashville Warbler,Oreothlypis ruficapilla,Passeriformes,Parulidae (New World Warblers),3179740,47482936,657698733,TRUE,TRUE
Gray Catbird,Dumetella carolinensis,Passeriformes,Mimidae (Mockingbirds and Thrashers),8657769,47471354,258131322,FALSE,TRUE
Blue Jay,Cyanocitta cristata,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",4336235,47457226,533648196,TRUE,TRUE
Pomarine Jaeger,Stercorarius pomarinus,Charadriiformes,Stercorariidae (Skuas and Jaegers),491847,47439504,4300180204,TRUE,FALSE
Common Raven,Corvus corax,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",12369176,47152451,177854893,TRUE,TRUE
Pine Warbler,Setophaga pinus,Passeriformes,Parulidae (New World Warblers),1661112,47057414,1350255253,FALSE,TRUE
Ruddy Shelduck,Tadorna ferruginea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",579019,46876277,3622613733,TRUE,FALSE
Pine Grosbeak,Pinicola enucleator,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",1930069,46642541,1201770173,TRUE,TRUE
Willow Warbler,Phylloscopus trochilus,Passeriformes,Phylloscopidae (Leaf Warblers),503472,46593036,4019227299,TRUE,FALSE
Lesser Noddy,Anous tenuirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",548977,46533938,3963068854,TRUE,FALSE
Boreal Chickadee,Poecile hudsonicus,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",1803829,46066459,1152719142,TRUE,TRUE
European Goldfinch,Carduelis carduelis,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",645284,45952282,3773048688,TRUE,FALSE
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Passeriformes,Hirundinidae (Swallows),7408420,45686312,283827080,FALSE,TRUE
Common Murre,Uria aalge,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",650180,45655712,3521625541,TRUE,FALSE
Wood Sandpiper,Tringa glareola,Charadriiformes,Scolopacidae (Sandpipers and Allies),595832,45559472,3908737002,TRUE,FALSE
Carolina Wren,Thryothorus ludovicianus,Passeriformes,Troglodytidae (Wrens),4823651,45096063,443857864,FALSE,TRUE
Spanish Sparrow,Passer hispaniolensis,Passeriformes,Passeridae (Old World Sparrows),533504,45058363,3625500939,TRUE,FALSE
Carrion Crow,Corvus corone,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",519833,44906864,3975521169,TRUE,FALSE
Kentish Plover,Charadrius alexandrinus,Charadriiformes,Charadriidae (Plovers and Lapwings),560122,44604910,3690184751,TRUE,FALSE
Western Sandpiper,Calidris mauri,Charadriiformes,Scolopacidae (Sandpipers and Allies),578548,43774252,3683966281,TRUE,FALSE
Hooded Crane,Grus monacha,Gruiformes,Gruidae (Cranes),485612,43616598,3516009526,TRUE,FALSE
Northern Lapwing,Vanellus vanellus,Charadriiformes,Charadriidae (Plovers and Lapwings),2058410,43487298,956234312,TRUE,TRUE
American Redstart,Setophaga ruticilla,Passeriformes,Parulidae (New World Warblers),5767595,43336179,327332179,TRUE,TRUE
Red-necked Stint,Calidris ruficollis,Charadriiformes,Scolopacidae (Sandpipers and Allies),539345,42947992,3565415007,TRUE,FALSE
Black-necked Stilt,Himantopus mexicanus,Charadriiformes,Recurvirostridae (Stilts and Avocets),498320,42892040,3453449170,FALSE,FALSE
Eurasian Kestrel,Falco tinnunculus,Falconiformes,Falconidae (Falcons and Caracaras),463882,42772390,3682193756,TRUE,TRUE
Snowy Egret,Egretta thula,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",508822,42498759,4271404483,TRUE,FALSE
Eastern Meadowlark,Sturnella magna,Passeriformes,Icteridae (Troupials and Allies),5721929,42402656,298397314,TRUE,TRUE
Glaucous-winged Gull,Larus glaucescens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",560271,42391491,3664495814,TRUE,FALSE
Little Swift,Apus affinis,Caprimulgiformes,Apodidae (Swifts),570186,41978170,3738724545,TRUE,FALSE
Lesser Yellowlegs,Tringa flavipes,Charadriiformes,Scolopacidae (Sandpipers and Allies),489653,41592429,3205338972,TRUE,FALSE
Hoary Redpoll,Acanthis hornemanni,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",2224263,41585696,786801330,FALSE,TRUE
House Crow,Corvus splendens,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",511444,41061217,3450357368,TRUE,FALSE
Crested Lark,Galerida cristata,Passeriformes,Alaudidae (Larks),457325,40990495,3348264308,TRUE,FALSE
Red-rumped Swallow,Cecropis daurica,Passeriformes,Hirundinidae (Swallows),547612,40982465,3290745647,TRUE,FALSE
Long-tailed Jaeger,Stercorarius longicaudus,Charadriiformes,Stercorariidae (Skuas and Jaegers),433900,40432451,3612325989,TRUE,FALSE
Sooty Shearwater,Ardenna grisea,Procellariiformes,Procellariidae (Shearwaters and Petrels),543193,40222361,3377230829,FALSE,FALSE
Baird's Sandpiper,Calidris bairdii,Charadriiformes,Scolopacidae (Sandpipers and Allies),481461,40210365,3886399716,TRUE,FALSE
Hudsonian Godwit,Limosa haemastica,Charadriiformes,Scolopacidae (Sandpipers and Allies),418043,40153227,3457307532,TRUE,FALSE
Long-tailed Duck,Clangula hyemalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",486728,39986676,3535926218,TRUE,FALSE
Eurasian Moorhen,Gallinula chloropus,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",488727,39632507,3617474465,TRUE,FALSE
Black-crowned Night-Heron,Nycticorax nycticorax,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",439952,39581806,2962158786,TRUE,FALSE
Glossy Ibis,Plegadis falcinellus,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),466130,39547553,3648723640,TRUE,FALSE
Scaly-breasted Munia,Lonchura punctulata,Passeriformes,Estrildidae (Waxbills and Allies),423169,39202384,3258398050,TRUE,FALSE
Spotted Towhee,Pipilo maculatus,Passeriformes,Passerellidae (New World Sparrows),1481941,39184608,1053504780,FALSE,TRUE
Gray-hooded Gull,Chroicocephalus cirrocephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",465713,39064338,3486898469,TRUE,FALSE
Blackpoll Warbler,Setophaga striata,Passeriformes,Parulidae (New World Warblers),2525705,39005526,603782021,TRUE,TRUE
Lesser Frigatebird,Fregata ariel,Suliformes,Fregatidae (Frigatebirds),442913,38926677,3369639166,TRUE,FALSE
Western Kingbird,Tyrannus verticalis,Passeriformes,Tyrannidae (Tyrant Flycatchers),5080212,38791193,298510983,FALSE,TRUE
Scissor-tailed Kite,Chelictinia riocourii,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",497605,38622879,2989891466,TRUE,FALSE
Common Gallinule,Gallinula galeata,Gruiformes,"Rallidae (Rails, Gallinules, and Coots)",416417,38524783,3083066366,TRUE,FALSE
Ruby-throated Hummingbird,Archilochus colubris,Caprimulgiformes,Trochilidae (Hummingbirds),1446234,38146029,930828471,FALSE,TRUE
Common Chiffchaff,Phylloscopus collybita,Passeriformes,Phylloscopidae (Leaf Warblers),440647,38063566,3153006333,TRUE,FALSE
Brambling,Fringilla montifringilla,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",476065,38063448,2919817669,TRUE,FALSE
Common Bulbul,Pycnonotus barbatus,Passeriformes,Pycnonotidae (Bulbuls),439339,37890265,3071381039,TRUE,FALSE
