Common name,Scientific name,Order,Family,95% Lower CI,Abundance estimate,95% Upper CI,Range adjusted,Training species
White-bellied Cuckooshrike,Coracina papuensis,Passeriformes,Campephagidae (Cuckooshrikes),45488,4160363,381593733,TRUE,FALSE
Scaly Weaver,Sporopipes squamifrons,Passeriformes,Ploceidae (Weavers and Allies),49606,4159619,391120050,TRUE,FALSE
Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus,Passeriformes,Tyrannidae (Tyrant Flycatchers),44733,4158039,404304459,TRUE,FALSE
Pied Lapwing,Vanellus cayanus,Charadriiformes,Charadriidae (Plovers and Lapwings),44483,4155949,391919630,TRUE,FALSE
Eastern Marsh-Harrier,Circus spilonotus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",44425,4153868,400045665,TRUE,FALSE
Scaled Quail,Callipepla squamata,Galliformes,Odontophoridae (New World Quail),69070,4151483,282056163,FALSE,TRUE
Crimson Rosella,Platycercus elegans,Psittaciformes,Psittaculidae (Old World Parrots),48424,4150549,372146635,FALSE,FALSE
Narina Trogon,Apaloderma narina,Trogoniformes,Trogonidae (Trogons),47006,4146496,417419111,TRUE,FALSE
Chestnut-shouldered Petronia,Gymnornis xanthocollis,Passeriformes,Passeridae (Old World Sparrows),48149,4144951,375756337,FALSE,FALSE
Green-backed Trogon,Trogon viridis,Trogoniformes,Trogonidae (Trogons),41448,4143017,369571706,TRUE,FALSE
Lanceolated Warbler,Locustella lanceolata,Passeriformes,Locustellidae (Grassbirds and Allies),43179,4141479,370057667,TRUE,FALSE
Dusky Flycatcher,Empidonax oberholseri,Passeriformes,Tyrannidae (Tyrant Flycatchers),49958,4140067,323333619,FALSE,TRUE
Emerald-spotted Wood-Dove,Turtur chalcospilos,Columbiformes,Columbidae (Pigeons and Doves),44988,4139542,411154780,TRUE,FALSE
Upland Sandpiper,Bartramia longicauda,Charadriiformes,Scolopacidae (Sandpipers and Allies),49089,4132828,384062323,TRUE,FALSE
Small-billed Elaenia,Elaenia parvirostris,Passeriformes,Tyrannidae (Tyrant Flycatchers),43412,4126744,409210313,TRUE,FALSE
Scarlet-backed Flowerpecker,Dicaeum cruentatum,Passeriformes,Dicaeidae (Flowerpeckers),40921,4125183,367195796,TRUE,FALSE
Inland Thornbill,Acanthiza apicalis,Passeriformes,Acanthizidae (Thornbills and Allies),46043,4123993,347938154,TRUE,FALSE
Channel-billed Toucan,Ramphastos vitellinus,Piciformes,Ramphastidae (Toucans),48729,4119242,387970014,TRUE,FALSE
Barn Owl,Tyto alba,Strigiformes,Tytonidae (Barn-Owls),129233,4114807,122658234,TRUE,TRUE
Splendid Fairywren,Malurus splendens,Passeriformes,Maluridae (Fairywrens),44152,4112367,323653061,TRUE,FALSE
Swainson's Hawk,Buteo swainsoni,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",152210,4099774,114555436,TRUE,TRUE
Lesser Yellow-headed Vulture,Cathartes burrovianus,Cathartiformes,Cathartidae (New World Vultures),46037,4093243,417163127,TRUE,FALSE
Greater Striped Swallow,Cecropis cucullata,Passeriformes,Hirundinidae (Swallows),41945,4085255,365336928,TRUE,FALSE
Swamp Harrier,Circus approximans,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",43467,4083372,384793807,TRUE,FALSE
Plain-breasted Ground-Dove,Columbina minuta,Columbiformes,Columbidae (Pigeons and Doves),46656,4078022,348217440,TRUE,FALSE
Eurasian Thick-knee,Burhinus oedicnemus,Charadriiformes,Burhinidae (Thick-knees),44875,4071287,331445558,TRUE,FALSE
Asian Emerald Dove,Chalcophaps indica,Columbiformes,Columbidae (Pigeons and Doves),40175,4064386,380450262,TRUE,FALSE
Southern Fiscal,Lanius collaris,Passeriformes,Laniidae (Shrikes),44149,4062088,332862978,TRUE,FALSE
Golden-billed Saltator,Saltator aurantiirostris,Passeriformes,Thraupidae (Tanagers and Allies),40299,4053412,425983988,FALSE,FALSE
Screaming Cowbird,Molothrus rufoaxillaris,Passeriformes,Icteridae (Troupials and Allies),46778,4051624,338310005,TRUE,FALSE
White-bellied Sea-Eagle,Haliaeetus leucogaster,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",43575,4051094,375342249,TRUE,FALSE
Marsh Wren,Cistothorus palustris,Passeriformes,Troglodytidae (Wrens),661108,4047960,23717943,TRUE,TRUE
Torresian Imperial-Pigeon,Ducula spilorrhoa,Columbiformes,Columbidae (Pigeons and Doves),44263,4044524,352559904,TRUE,FALSE
Pied Oystercatcher,Haematopus longirostris,Charadriiformes,Haematopodidae (Oystercatchers),45850,4044467,362741077,TRUE,FALSE
Plain Mountain-Finch,Leucosticte nemoricola,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",46762,4043935,350266608,TRUE,FALSE
Pacific Emerald Dove,Chalcophaps longirostris,Columbiformes,Columbidae (Pigeons and Doves),46186,4042814,338996515,TRUE,FALSE
Pileated Finch,Coryphospingus pileatus,Passeriformes,Thraupidae (Tanagers and Allies),46503,4040654,390738440,TRUE,FALSE
Red-capped Cardinal,Paroaria gularis,Passeriformes,Thraupidae (Tanagers and Allies),47161,4037253,366352181,TRUE,FALSE
Red-winged Starling,Onychognathus morio,Passeriformes,Sturnidae (Starlings),49252,4035685,326638561,TRUE,FALSE
Gray Butcherbird,Cracticus torquatus,Passeriformes,Cracticidae (Bellmagpies and Allies),42643,4032316,345545256,TRUE,FALSE
Curve-billed Thrasher,Toxostoma curvirostre,Passeriformes,Mimidae (Mockingbirds and Thrashers),70089,4031035,259971487,FALSE,TRUE
Spectacled Tyrant,Hymenops perspicillatus,Passeriformes,Tyrannidae (Tyrant Flycatchers),43178,4024228,389999137,TRUE,FALSE
Blue-spotted Wood-Dove,Turtur afer,Columbiformes,Columbidae (Pigeons and Doves),44069,4022581,351814919,TRUE,FALSE
Eastern Buzzard,Buteo japonicus,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",48019,4020514,358495624,TRUE,FALSE
White Monjita,Xolmis irupero,Passeriformes,Tyrannidae (Tyrant Flycatchers),44672,4012085,330003132,TRUE,FALSE
Green Hylia,Hylia prasina,Passeriformes,Macrosphenidae (African Warblers),42496,4011113,393562310,TRUE,FALSE
Plumbeous Vireo,Vireo plumbeus,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",47210,4009486,295742468,FALSE,TRUE
Western Plantain-eater,Crinifer piscator,Musophagiformes,Musophagidae (Turacos),46013,4009081,359996445,TRUE,FALSE
Orange-fronted Yellow-Finch,Sicalis columbiana,Passeriformes,Thraupidae (Tanagers and Allies),42372,4006295,305704579,TRUE,FALSE
White-throated Fantail,Rhipidura albicollis,Passeriformes,Rhipiduridae (Fantails),45280,4002725,322230964,TRUE,FALSE
Scaly-breasted Lorikeet,Trichoglossus chlorolepidotus,Psittaciformes,Psittaculidae (Old World Parrots),43322,4002557,327040977,TRUE,FALSE
Costa's Hummingbird,Calypte costae,Caprimulgiformes,Trochilidae (Hummingbirds),47064,3995787,356221492,FALSE,TRUE
Chestnut-bellied Seedeater,Sporophila castaneiventris,Passeriformes,Thraupidae (Tanagers and Allies),47860,3981248,341253247,TRUE,FALSE
Campo Flicker,Colaptes campestris,Piciformes,Picidae (Woodpeckers),45244,3980957,388957929,TRUE,FALSE
Fairy Prion,Pachyptila turtur,Procellariiformes,Procellariidae (Shearwaters and Petrels),47360,3978651,343938048,FALSE,FALSE
Velvet Scoter,Melanitta fusca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",44057,3965619,361780307,TRUE,FALSE
White-headed Munia,Lonchura maja,Passeriformes,Estrildidae (Waxbills and Allies),42985,3965389,340643472,TRUE,FALSE
Black-billed Wood-Dove,Turtur abyssinicus,Columbiformes,Columbidae (Pigeons and Doves),45467,3963616,326518701,TRUE,FALSE
Black-bellied Sandgrouse,Pterocles orientalis,Pterocliformes,Pteroclidae (Sandgrouse),44205,3963535,366391439,TRUE,FALSE
Cinnamon-breasted Bunting,Emberiza tahapisi,Passeriformes,Emberizidae (Old World Buntings),49136,3960963,343125244,TRUE,FALSE
Northern Giant-Petrel,Macronectes halli,Procellariiformes,Procellariidae (Shearwaters and Petrels),40992,3953984,375060807,FALSE,FALSE
Greater Spotted Eagle,Clanga clanga,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",40955,3949559,373451357,TRUE,FALSE
Zebra Waxbill,Sporaeginthus subflavus,Passeriformes,Estrildidae (Waxbills and Allies),43388,3948498,389143900,FALSE,FALSE
Yellowish Pipit,Anthus lutescens,Passeriformes,Motacillidae (Wagtails and Pipits),43719,3947244,349320789,TRUE,FALSE
Lesser Redpoll,Acanthis cabaret,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",41187,3944783,370916231,FALSE,FALSE
Large Gray Babbler,Turdoides malcolmi,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),40893,3942640,367394449,FALSE,FALSE
White-fronted Parrot,Amazona albifrons,Psittaciformes,Psittacidae (New World and African Parrots),44130,3929628,353329052,FALSE,FALSE
Golden-winged Parakeet,Brotogeris chrysoptera,Psittaciformes,Psittacidae (New World and African Parrots),41410,3926338,354346049,TRUE,FALSE
Eclectus Parrot,Eclectus roratus,Psittaciformes,Psittaculidae (Old World Parrots),43414,3923323,362419432,TRUE,FALSE
Red-kneed Dotterel,Erythrogonys cinctus,Charadriiformes,Charadriidae (Plovers and Lapwings),38187,3921817,348287488,TRUE,FALSE
Masked Yellowthroat,Geothlypis aequinoctialis,Passeriformes,Parulidae (New World Warblers),49993,3921774,365778920,TRUE,FALSE
Slender-billed Crow,Corvus enca,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",43498,3920803,370036247,TRUE,FALSE
